Concurrent Thread 2 creating all parallel threads (paused)
Concurrent Thread 1 creating all parallel threads (paused)
Concurrent Thread 0 creating all parallel threads (paused)
Concurrent Thread 3 creating all parallel threads (paused)
Main Thread changed parallelism to 3 and concurrency to 3
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :0 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :1460000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :1480000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :1480000 
Parent ID : 2 thread ID: 3, work url : sample_file_2 , start_byte :620000 
Parent ID : 3 thread ID: 2, work url : sample_file_3 , start_byte :80000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :630000 
Parent ID : 3 thread ID: 1, work url : sample_file_3 , start_byte :90000 
Parent ID : 3 thread ID: 0, work url : sample_file_3 , start_byte :100000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :640000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :650000 
Parent ID : 3 thread ID: 3, work url : sample_file_3 , start_byte :110000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :1490000 
Parent ID : 0 thread ID: 3, work url : sample_file_0 , start_byte :1490000 
Parent ID : 1 thread ID: 3, work url : sample_file_1 , start_byte :1500000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :1510000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :1500000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :1510000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :1520000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :1520000 
Parent ID : 3 thread ID: 2, work url : sample_file_3 , start_byte :120000 
Parent ID : 2 thread ID: 3, work url : sample_file_2 , start_byte :660000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :670000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :680000 
Parent ID : 3 thread ID: 1, work url : sample_file_3 , start_byte :130000 
Parent ID : 3 thread ID: 3, work url : sample_file_3 , start_byte :140000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :690000 
Parent ID : 3 thread ID: 0, work url : sample_file_3 , start_byte :150000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :1530000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :1530000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :1540000 
Parent ID : 0 thread ID: 3, work url : sample_file_0 , start_byte :1550000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :1540000 
Parent ID : 1 thread ID: 3, work url : sample_file_1 , start_byte :1550000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :1560000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :1560000 
Main thread is shutting off all concurrent threads
Parent ID : 2 thread ID: 3, work url : sample_file_2 , start_byte :700000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :710000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :720000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :730000 
Parent ID : 3 thread ID: 0, work url : sample_file_3 , start_byte :170000 
Parent ID : 3 thread ID: 2, work url : sample_file_3 , start_byte :160000 
Parent ID : 3 thread ID: 1, work url : sample_file_3 , start_byte :180000 
Parent ID : 3 thread ID: 3, work url : sample_file_3 , start_byte :190000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :1570000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :1570000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :1580000 
Parent ID : 0 thread ID: 3, work url : sample_file_0 , start_byte :1590000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :1580000 
Parent ID : 1 thread ID: 3, work url : sample_file_1 , start_byte :1590000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :1600000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :1600000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :740000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :750000 
Parent ID : 2 thread ID: 3, work url : sample_file_2 , start_byte :760000 
Parent ID : 3 thread ID: 1, work url : sample_file_3 , start_byte :200000 
Parent ID : 3 thread ID: 2, work url : sample_file_3 , start_byte :210000 
Parent ID : 3 thread ID: 3, work url : sample_file_3 , start_byte :220000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :770000 
Parent ID : 3 thread ID: 0, work url : sample_file_3 , start_byte :230000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :1610000 
Parent ID : 0 thread ID: 3, work url : sample_file_0 , start_byte :1620000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :1630000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :1610000 
Parent ID : 1 thread ID: 3, work url : sample_file_1 , start_byte :1620000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :1630000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :1640000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :1640000 
Concurrent Thread 3 shutting off all parallel threads
Concurrent Thread 2 shutting off all parallel threads
Concurrent Thread 0 shutting off all parallel threads
Concurrent Thread 1 shutting off all parallel threads
Parent ID : 2 thread ID: 0, shutting itself off
Parent ID : 3 thread ID: 1, shutting itself off
Parent ID : 3 thread ID: 2, shutting itself off
Parent ID : 3 thread ID: 0, shutting itself off
Parent ID : 2 thread ID: 2, shutting itself off
Parent ID : 2 thread ID: 1, shutting itself off
Parent ID : 2 thread ID: 3, shutting itself off
Parent ID : 3 thread ID: 3, shutting itself off
Parent ID : 0 thread ID: 1, shutting itself off
Parent ID : 0 thread ID: 2, shutting itself off
Parent ID : 0 thread ID: 3, shutting itself off
Parent ID : 1 thread ID: 1, shutting itself off
Parent ID : 1 thread ID: 3, shutting itself off
Parent ID : 1 thread ID: 2, shutting itself off
Parent ID : 0 thread ID: 0, shutting itself off
Parent ID : 1 thread ID: 0, shutting itself off
All done
